Team,Name,Pos,BV,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts,20_Pts,21_Pts,22_Pts,23_Pts,total_pts,ID,SV
MUN,Zirkzee,F,5.5,2.95,2.43,2.11,1.65,1.85,1.84,2.33,1.66,2.03,0.96,0.23,20.04,3893805,5.5
NEW,Schär,D,5.5,1.7,1.91,2.43,1.96,1.33,1.32,2.05,1.62,2.09,1.86,1.74,20.01,91161,5.5
LIV,C.Jones,M,5.5,2.02,2.63,2.08,1.85,1.68,2.04,1.99,1.51,0.74,2.14,1.33,20.0,154682,5.5
LEE,Nmecha,F,5.0,2.12,2.23,1.71,1.72,1.78,2.22,1.23,1.82,1.5,1.92,1.72,19.97,4293418,5.0
CHE,Estêvão,M,6.0,1.31,2.27,1.71,2.13,1.59,2.08,2.06,1.26,1.7,2.15,1.59,19.83,4293364,6.0
LEE,James,M,6.0,1.56,2.24,1.84,1.81,1.84,2.17,1.26,1.86,1.45,2.01,1.76,19.8,4293434,6.0
CHE,Gusto,D,5.0,1.42,2.71,2.1,1.99,1.4,1.93,1.95,1.03,1.68,1.98,1.4,19.59,3556528,5.0
LIV,Ngumoha,M,5.0,1.98,2.76,1.98,1.87,1.75,2.37,2.31,1.53,0.15,2.81,0.0,19.52,4340419,5.0
WOL,Toti,D,4.4,1.67,2.34,1.99,1.05,2.29,1.11,1.68,2.55,2.0,1.84,1.0,19.51,280711,4.4
NEW,J.Ramsey,M,5.5,1.31,1.78,2.32,1.94,1.53,1.56,2.14,1.64,1.98,1.68,1.63,19.5,186002,5.5
LIV,Gomez,D,5.0,1.78,3.16,2.48,1.76,1.4,1.94,1.84,1.37,0.51,2.08,1.1,19.43,23120,5.0
BOU,Cook,M,5.0,1.77,2.48,2.21,2.16,2.76,1.64,1.19,1.11,1.5,1.18,1.11,19.11,230747,5.0
TOT,Kolo Muani,F,6.5,2.26,1.76,2.06,1.61,1.21,1.26,1.39,2.3,1.28,2.01,1.99,19.11,4386959,6.5
BUR,Walker,D,4.5,1.68,1.87,1.37,2.23,1.48,2.3,1.77,1.43,1.94,0.9,2.13,19.1,23260,4.5
EVE,Iroegbunam,M,4.5,2.12,1.71,1.95,1.31,1.79,2.16,1.92,1.7,1.94,1.08,1.31,19.0,495578,4.5
NEW,Elanga,M,7.0,1.29,1.92,2.33,1.95,1.36,1.42,2.04,1.46,1.91,1.62,1.59,18.89,219749,7.0
NFO,Savona,D,5.0,2.96,3.24,2.79,1.74,1.96,0.99,1.96,0.95,1.14,0.77,0.23,18.72,4386445,5.0
BOU,Milosavljević,D,4.0,1.51,2.44,1.68,1.58,2.98,1.32,1.29,1.39,2.11,1.24,1.14,18.68,4386939,4.0
MCI,Lewis,D,5.5,1.96,1.42,2.23,1.15,2.05,1.54,1.99,1.34,1.62,1.32,2.03,18.63,2087563,5.5
BUR,Laurent,M,4.5,0.97,1.14,1.06,1.33,2.31,2.52,2.43,1.99,2.22,1.23,1.36,18.56,4293406,4.5
BUR,Estève,D,4.0,1.55,1.87,1.28,2.24,1.41,2.36,1.73,1.37,1.84,0.75,2.04,18.45,3763423,4.0
NFO,Bakwa,M,6.0,0.51,0.99,1.09,2.41,2.08,1.93,2.39,1.7,2.19,1.32,1.79,18.4,4386934,6.0
MUN,Yoro,D,4.5,1.95,2.9,2.35,1.5,1.58,1.32,2.03,1.44,1.93,0.86,0.51,18.38,3893844,4.5
WHU,Souček,M,6.0,1.37,1.27,1.34,1.65,1.37,1.92,1.93,1.83,1.91,1.51,2.27,18.36,160700,6.0
NFO,Hudson-Odoi,M,6.0,2.53,2.28,1.69,1.75,1.41,1.27,1.67,1.37,1.65,0.98,1.33,17.94,69539,6.0
