fpl_code,team,player,pos,cost,2025-11-29,2025-11-30,2025-12-02,2025-12-03,2025-12-04,2025-12-06,2025-12-07,2025-12-08,2025-12-13,2025-12-14,2025-12-15,2025-12-20,2025-12-21,2025-12-22,2025-12-26,2025-12-27,2025-12-28,2025-12-30,2026-01-01,2026-01-03,2026-01-04,2026-01-06,2026-01-07,2026-01-08,2026-01-17,2026-01-18,2026-01-19,2026-01-24,2026-01-25,2026-01-26,total_pts,ppm
441264,SUN,Brobbey,F,6.5,1.01,0.0,0.0,0.95,0.0,0.92,0.0,0.0,0.0,1.07,0.0,1.67,0.0,0.0,0.0,0.0,1.98,0.0,1.58,0.0,1.45,0.0,1.48,0.0,1.38,0.0,0.0,1.23,0.0,0.0,14.72,2.26
54469,BOU,Smith,D,7.1,1.65,0.0,1.72,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.22,2.05,0.0,0.0,0.0,1.26,0.0,0.95,0.0,1.08,0.0,0.0,1.32,0.0,0.0,0.0,1.16,1.01,0.0,0.0,14.67,2.07
490721,WOL,H.Bueno,D,6.1,0.0,1.05,0.0,1.45,0.0,0.0,0.0,1.27,0.83,0.0,0.0,2.08,0.0,0.0,0.0,1.15,0.0,1.67,0.0,1.77,0.0,0.0,1.46,0.0,0.0,1.18,0.0,0.72,0.0,0.0,14.62,2.4
219924,FUL,Diop,D,6.8,0.0,0.0,0.42,0.0,0.0,0.0,0.74,0.0,0.91,0.0,0.0,0.0,0.0,3.18,0.0,2.83,0.0,0.0,2.29,0.0,1.15,0.0,1.29,0.0,1.05,0.0,0.0,0.74,0.0,0.0,14.6,2.15
472713,BRE,Hickey,D,6.1,1.24,0.0,0.0,0.82,0.0,1.16,0.0,0.0,0.0,1.62,0.0,1.37,0.0,0.0,0.0,1.38,0.0,0.0,1.43,0.0,1.36,0.0,1.72,0.0,0.95,0.0,0.0,0.0,1.47,0.0,14.53,2.38
497949,WOL,Møller Wolfe,D,6.7,0.0,1.34,0.0,1.55,0.0,0.0,0.0,1.33,0.9,0.0,0.0,1.7,0.0,0.0,0.0,0.95,0.0,1.34,0.0,1.76,0.0,0.0,1.44,0.0,0.0,1.36,0.0,0.79,0.0,0.0,14.46,2.16
449434,NEW,Elanga,M,8.2,1.06,0.0,1.54,0.0,0.0,1.57,0.0,0.0,0.0,1.35,0.0,1.26,0.0,0.0,1.32,0.0,0.0,1.44,0.0,0.0,1.17,0.0,1.27,0.0,0.0,1.19,0.0,0.0,1.17,0.0,14.34,1.75
492859,LEE,Gnonto,M,6.9,0.92,0.0,0.0,1.15,0.0,1.35,0.0,0.0,0.0,1.38,0.0,1.42,0.0,0.0,0.0,0.0,1.48,0.0,1.17,0.0,1.51,0.0,1.26,0.0,1.35,0.0,0.0,0.0,0.0,1.28,14.27,2.07
551483,BOU,A.Jimenez,D,6.7,1.68,0.0,1.43,0.0,0.0,1.16,0.0,0.0,0.0,0.0,1.17,1.69,0.0,0.0,0.0,1.28,0.0,1.03,0.0,1.05,0.0,0.0,1.53,0.0,0.0,0.0,1.11,1.14,0.0,0.0,14.25,2.13
438234,MCI,Marmoush,F,10.7,1.8,0.0,1.72,0.0,0.0,2.39,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,1.17,0.0,1.61,0.0,0.0,2.53,0.0,0.0,14.17,1.32
535301,BHA,Baleba,M,8.0,0.0,2.45,0.0,1.97,0.0,0.0,2.2,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.81,0.0,0.0,0.0,1.43,2.13,0.0,0.0,14.0,1.75
496661,EVE,Dibling,M,6.5,0.86,0.0,1.18,0.0,0.0,1.34,0.0,0.0,0.91,0.0,0.0,1.82,0.0,0.0,0.0,1.92,0.0,1.64,0.0,0.0,1.26,0.0,1.3,0.0,0.0,0.92,0.0,0.0,0.0,0.77,13.92,2.14
441271,WOL,Hoever,D,6.1,0.0,0.89,0.0,1.06,0.0,0.0,0.0,0.86,0.61,0.0,0.0,2.42,0.0,0.0,0.0,1.4,0.0,1.87,0.0,1.61,0.0,0.0,1.28,0.0,0.0,1.1,0.0,0.61,0.0,0.0,13.71,2.25
477555,MCI,Bobb,M,6.5,0.96,0.0,0.89,0.0,0.0,1.2,0.0,0.0,0.0,0.87,0.0,1.73,0.0,0.0,0.0,1.42,0.0,0.0,1.69,0.0,1.26,0.0,1.25,0.0,1.15,0.0,0.0,1.22,0.0,0.0,13.64,2.1
500040,ARS,Mosquera,D,7.9,0.0,0.91,0.0,1.9,0.0,1.8,0.0,0.0,2.16,0.0,0.0,1.42,0.0,0.0,0.0,1.0,0.0,0.88,0.0,0.84,0.0,0.0,0.0,0.78,0.95,0.0,0.0,0.0,0.87,0.0,13.51,1.71
465730,BHA,De Cuyper,D,6.7,0.0,1.07,0.0,1.47,0.0,0.0,1.96,0.0,0.87,0.0,0.0,1.57,0.0,0.0,0.0,0.77,0.0,1.33,0.0,1.57,0.0,0.0,0.75,0.0,0.0,0.0,1.18,0.96,0.0,0.0,13.5,2.01
209289,FUL,Smith Rowe,M,7.7,0.8,0.0,0.88,0.0,0.0,0.0,0.95,0.0,1.17,0.0,0.0,0.0,0.0,1.71,0.0,1.72,0.0,0.0,1.49,0.0,1.27,0.0,1.23,0.0,1.25,0.0,0.0,1.0,0.0,0.0,13.48,1.75
449871,AVL,Onana,M,7.4,0.0,1.03,0.0,1.03,0.0,1.04,0.0,0.0,0.0,1.35,0.0,0.0,1.42,0.0,0.0,1.25,0.0,1.2,0.0,1.33,0.0,0.0,1.21,0.0,0.0,1.23,0.0,0.0,1.17,0.0,13.26,1.79
434399,SUN,Reinildo,D,6.1,2.39,0.0,0.0,0.88,0.0,0.97,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,1.02,0.0,2.0,0.0,0.0,2.54,0.0,0.0,13.03,2.14
97299,MCI,Stones,D,8.6,0.92,0.0,0.85,0.0,0.0,1.27,0.0,0.0,0.0,0.97,0.0,1.4,0.0,0.0,0.0,1.21,0.0,0.0,1.37,0.0,1.08,0.0,1.31,0.0,1.08,0.0,0.0,1.49,0.0,0.0,12.95,1.51
