fpl_code,team,player,pos,cost,13,14,15,16,17,18,19,20,21,22,23,total_pts,ppm
465730,BHA,De Cuyper,D,4.3,0.96,1.38,1.87,0.81,1.46,0.7,1.2,1.49,0.69,1.07,0.86,12.5,2.91
180135,LEE,Longstaff,M,4.9,0.0,0.0,0.0,0.0,0.0,0.98,1.47,2.37,2.42,2.69,2.53,12.46,2.54
152551,CRY,Lerma,M,4.9,0.83,1.0,0.99,0.98,1.31,1.37,1.35,1.06,1.18,1.12,0.97,12.18,2.48
441264,SUN,Brobbey,F,5.5,0.8,0.75,0.72,0.85,1.38,1.78,1.3,1.15,1.17,1.14,0.98,12.02,2.19
477064,MCI,Lewis,D,4.8,1.07,0.99,1.28,0.84,1.25,1.06,1.2,0.99,1.01,0.92,1.13,11.73,2.44
97299,MCI,Stones,D,5.4,0.82,0.75,1.14,0.86,1.25,1.08,1.22,0.97,1.19,0.97,1.35,11.61,2.15
244042,FUL,Muniz,F,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.04,1.58,2.2,3.35,3.39,11.56,2.14
95658,MUN,Maguire,D,4.4,0.0,0.85,1.07,1.21,1.14,1.2,1.57,1.23,1.52,0.95,0.81,11.55,2.62
523705,WOL,Tchatchoua,D,4.5,1.9,2.45,2.11,1.31,0.0,0.0,0.0,0.87,0.79,1.06,0.99,11.46,2.55
135720,TOT,Danso,D,4.3,3.89,0.43,0.69,0.67,0.59,0.68,0.69,1.01,0.71,0.94,1.01,11.32,2.63
223541,LIV,Chiesa,M,6.4,1.05,1.01,0.74,0.75,1.38,1.54,1.53,0.87,0.69,1.03,0.6,11.18,1.75
547027,SUN,Diarra,M,5.3,0.0,0.78,1.25,2.55,0.0,0.0,0.0,1.11,1.07,1.95,2.45,11.16,2.11
434752,LEE,Bijol,D,3.9,0.54,0.92,0.84,1.03,1.06,1.27,0.75,1.13,0.92,1.36,1.08,10.9,2.79
232112,MUN,Ugarte,M,4.7,0.91,1.22,1.04,0.91,1.02,1.05,1.19,0.98,0.92,0.85,0.72,10.79,2.3
87835,WOL,Doherty,D,4.4,0.0,0.47,0.71,0.56,1.91,1.28,1.56,1.46,1.22,0.96,0.57,10.71,2.43
210462,NFO,Sangaré,M,4.9,2.37,2.33,2.08,1.52,0.0,0.0,0.0,0.48,0.43,0.54,0.9,10.66,2.18
